date,block_time,tx_vol,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,dormancy_1,sdd_1
09/04/11,2009-04-11,635000000000.0,0.0,121.0,0.0,52500000000000.0,35000000000,35000000000,35000000000,0.14615608213175008,95732233796.29605
09/04/12,2009-04-12,685000000000.0,0.0,120.0,0.0,53100000000000.0,65000000000,65000000000,65000000000,0.6325541113004074,381906886574.07385
09/04/13,2009-04-13,580000000000.0,1000000000.0,116.0,0.0,53690000000000.0,5000000000,4000000000,4000000000,0.007660548941798906,5362384259.259094
09/04/14,2009-04-14,620000000000.0,0.0,124.0,0.0,54265000000000.0,0,0,0,-3.642919299551295e-17,-0.00016498565673828125
09/04/15,2009-04-15,565000000000.0,0.0,113.0,0.0,54885000000000.0,0,0,0,-3.642919299551295e-17,-0.00016498565673828125
09/04/16,2009-04-16,615000000000.0,0.0,123.0,0.0,55450000000000.0,0,0,0,-3.642919299551295e-17,-0.00016498565673828125
09/04/17,2009-04-17,560000000000.0,0.0,112.0,0.0,56065000000000.0,0,0,0,-3.642919299551295e-17,-0.00016498565673828125
09/04/18,2009-04-18,648251000000.0,3251000000.0,130.0,0.0,56625000000000.0,15000000000,11749000000,11749000000,0.4689687703778737,292232757719.9072
09/04/19,2009-04-19,635000000000.0,0.0,120.0,0.0,57255000000000.0,40000000000,40000000000,40000000000,0.4263165913421847,272096990740.74054
09/04/20,2009-04-20,1170000000000.0,0.0,121.0,0.0,57850000000000.0,575000000000,575000000000,575000000000,10.33026131954465,10235409027777.775
09/04/21,2009-04-21,620000000000.0,1000000.0,124.0,0.0,58445000000000.0,5000000000,4999000000,4999000000,0.017985872470408282,17446296296.296875
09/04/22,2009-04-22,605000000000.0,0.0,121.0,0.0,59060000000000.0,0,0,0,-2.706168622523819e-16,0.000579833984375
09/04/23,2009-04-23,375000000000.0,0.0,75.0,0.0,59665000000000.0,0,0,0,-2.706168622523819e-16,0.000579833984375
09/04/24,2009-04-24,575000000000.0,0.0,115.0,0.0,60040000000000.0,0,0,0,-2.706168622523819e-16,0.000579833984375
09/04/25,2009-04-25,590000000000.0,0.0,118.0,0.0,60615000000000.0,0,0,0,-2.706168622523819e-16,0.000579833984375
09/04/26,2009-04-26,635000000000.0,0.0,114.0,0.0,61205000000000.0,75000000000,75000000000,75000000000,0.48676077279202257,316394502314.8154
09/04/27,2009-04-27,520000000000.0,0.0,104.0,0.0,61765000000000.0,0,0,0,-2.7755575615628914e-16,0.0006103515625
09/04/28,2009-04-28,585000000000.0,0.0,117.0,0.0,62285000000000.0,0,0,0,-2.7755575615628914e-16,0.0006103515625
09/04/29,2009-04-29,740000000000.0,0.0,129.0,0.0,62870000000000.0,100000000000,100000000000,100000000000,0.8413307429453258,530038368055.5561
09/04/30,2009-04-30,655000000000.0,0.0,131.0,0.0,63510000000000.0,0,0,0,-3.3306690738754696e-16,0.0006103515625
09/05/01,2009-05-01,605000000000.0,0.0,121.0,0.0,64165000000000.0,0,0,0,-3.3306690738754696e-16,0.0006103515625
09/05/02,2009-05-02,704994000000.0,3000000.0,128.0,3000000.0,64770000000000.0,70000000000,69997000000,69997000000,0.704928568685965,487474337870.3709
09/05/03,2009-05-03,541000000000.0,6000000000.0,109.0,0.0,65400000000000.0,5000000000,3500000000,3500000000,0.015511220068511355,8377314814.81543
